,call_type,latitude,longitude
1071,Structure Fire,37.78574028,-122.41380430000001
1078,Structure Fire,37.73342303,-122.4820138
1080,Structure Fire,37.76979785,-122.44857879999999
1081,Structure Fire,37.74033299,-122.4664486
1085,Structure Fire,37.78574028,-122.41380430000001
1086,Structure Fire,37.77269482,-122.42218829999999
1095,Structure Fire,37.74033299,-122.4664486
1096,Structure Fire,37.77173646,-122.42367340000001
1101,Structure Fire,37.74033299,-122.4664486
1116,Structure Fire,37.74033299,-122.4664486
1135,Structure Fire,37.74033299,-122.4664486
1136,Structure Fire,37.77269482,-122.42218829999999
1141,Structure Fire,37.76505134,-122.419669
1167,Structure Fire,37.73823929,-122.5000578
1170,Structure Fire,37.74033299,-122.4664486
1177,Structure Fire,37.74033299,-122.4664486
1179,Structure Fire,37.73342303,-122.4820138
1185,Structure Fire,37.74033299,-122.4664486
1187,Structure Fire,37.74033299,-122.4664486
1189,Structure Fire,37.74033299,-122.4664486
1193,Structure Fire,37.77173646,-122.42367340000001
1198,Structure Fire,37.74033299,-122.4664486
1215,Structure Fire,37.77269482,-122.42218829999999
1216,Structure Fire,37.74033299,-122.4664486
1217,Structure Fire,37.76559675,-122.44779750000001
1224,Structure Fire,37.77903213,-122.4018433
1233,Structure Fire,37.78159559,-122.41219070000001
1237,Structure Fire,37.73342303,-122.4820138
1239,Structure Fire,37.7921084,-122.4009331
1240,Structure Fire,37.77269482,-122.42218829999999
1241,Structure Fire,37.77173646,-122.42367340000001
1246,Structure Fire,37.74033299,-122.4664486
1247,Structure Fire,37.71137971,-122.45034109999999
1251,Structure Fire,37.77269482,-122.42218829999999
1254,Structure Fire,37.74033299,-122.4664486
1265,Structure Fire,37.76559675,-122.44779750000001
1269,Structure Fire,37.74033299,-122.4664486
1273,Structure Fire,37.78574028,-122.41380430000001
1296,Structure Fire,37.76890334,-122.45183909999999
1306,Structure Fire,37.76559675,-122.44779750000001
1312,Structure Fire,37.73823929,-122.5000578
1315,Structure Fire,37.74033299,-122.4664486
1331,Structure Fire,37.78159559,-122.41219070000001
1334,Structure Fire,37.79531294,-122.39797479999999
1340,Structure Fire,37.77269482,-122.42218829999999
1345,Structure Fire,37.77404333,-122.41436770000001
1348,Structure Fire,37.78779429,-122.4035297
1351,Structure Fire,37.76890334,-122.45183909999999
1356,Structure Fire,37.77173646,-122.42367340000001
1389,Structure Fire,37.77173646,-122.42367340000001
1390,Structure Fire,37.71137971,-122.45034109999999
1395,Structure Fire,37.78574028,-122.41380430000001
1401,Structure Fire,37.74033299,-122.4664486
1403,Structure Fire,37.77269482,-122.42218829999999
1405,Structure Fire,37.78574028,-122.41380430000001
1412,Structure Fire,37.74033299,-122.4664486
1415,Structure Fire,37.76987697,-122.4204257
1417,Structure Fire,37.78159559,-122.41219070000001
1423,Structure Fire,37.73823929,-122.5000578
1425,Structure Fire,37.73823929,-122.5000578
1426,Structure Fire,37.76890334,-122.45183909999999
1434,Structure Fire,37.74033299,-122.4664486
1435,Structure Fire,37.78574028,-122.41380430000001
1439,Structure Fire,37.76559675,-122.44779750000001
1451,Structure Fire,37.76559675,-122.44779750000001
1452,Structure Fire,37.76559675,-122.44779750000001
1463,Structure Fire,37.77404333,-122.41436770000001
1468,Structure Fire,37.73823929,-122.5000578
1475,Structure Fire,37.74033299,-122.4664486
1479,Structure Fire,37.77903213,-122.4018433
1488,Structure Fire,37.745101,-122.39218229999999
1490,Structure Fire,37.74033299,-122.4664486
1496,Structure Fire,37.73342303,-122.4820138
1497,Structure Fire,37.74033299,-122.4664486
1501,Structure Fire,37.78574028,-122.41380430000001
1510,Structure Fire,37.76987697,-122.4204257
1520,Structure Fire,37.78159559,-122.41219070000001
1525,Structure Fire,37.73823929,-122.5000578
1526,Structure Fire,37.78159559,-122.41219070000001
1529,Structure Fire,37.76890334,-122.45183909999999
1535,Structure Fire,37.78574028,-122.41380430000001
1543,Structure Fire,37.76505134,-122.419669
1550,Structure Fire,37.76559675,-122.44779750000001
1555,Structure Fire,37.76890334,-122.45183909999999
1563,Structure Fire,37.78779429,-122.4035297
1564,Structure Fire,37.77269482,-122.42218829999999
1567,Structure Fire,37.7921084,-122.4009331
1573,Structure Fire,37.77269482,-122.42218829999999
1575,Structure Fire,37.76559675,-122.44779750000001
1576,Structure Fire,37.73823929,-122.5000578
1577,Structure Fire,37.74033299,-122.4664486
1583,Structure Fire,37.71137971,-122.45034109999999
1588,Structure Fire,37.74033299,-122.4664486
1590,Structure Fire,37.7978223,-122.4070162
1591,Structure Fire,37.74033299,-122.4664486
1594,Structure Fire,37.79531294,-122.39797479999999
1601,Structure Fire,37.73342303,-122.4820138
1605,Structure Fire,37.73342303,-122.4820138
1606,Structure Fire,37.78159559,-122.41219070000001
1613,Structure Fire,37.74033299,-122.4664486
1628,Structure Fire,37.71137971,-122.45034109999999
