,call_type,latitude,longitude
1308,Alarms,37.71331778,-122.4728759
1314,Alarms,37.7604107,-122.44634350000001
1318,Alarms,37.78863528,-122.4169903
1323,Alarms,37.78284503,-122.41322179999999
1330,Alarms,37.76795763,-122.4037477
1333,Alarms,37.783359000000004,-122.4166949
1343,Alarms,37.77708346,-122.41697930000001
1365,Alarms,37.80544605,-122.4228419
1372,Alarms,37.77537256,-122.4843242
1375,Alarms,37.78428162,-122.40461459999999
1376,Alarms,37.77537256,-122.4843242
1377,Alarms,37.71064899,-122.41246880000001
1385,Alarms,37.76750446,-122.4289486
1400,Alarms,37.78255696,-122.4163494
1409,Alarms,37.71901187,-122.48045069999999
1411,Alarms,37.78012429,-122.4458936
1421,Alarms,37.77537256,-122.4843242
1436,Alarms,37.78229062,-122.44011950000001
1456,Alarms,37.78863528,-122.4169903
1459,Alarms,37.71064899,-122.41246880000001
1462,Alarms,37.79188539,-122.3933412
1474,Alarms,37.77388278,-122.44272820000002
1480,Alarms,37.78863528,-122.4169903
1486,Alarms,37.76795763,-122.4037477
1500,Alarms,37.71331778,-122.4728759
1509,Alarms,37.78428162,-122.40461459999999
1511,Alarms,37.73585083,-122.50306200000001
1515,Alarms,37.78284503,-122.41322179999999
1548,Alarms,37.73585083,-122.50306200000001
1561,Alarms,37.77388278,-122.44272820000002
1571,Alarms,37.71064899,-122.41246880000001
1574,Alarms,37.78900115,-122.4011429
1578,Alarms,37.71901187,-122.48045069999999
1589,Alarms,37.71331778,-122.4728759
1604,Alarms,37.80544605,-122.4228419
1607,Alarms,37.82226471,-122.36804409999999
1618,Alarms,37.77388278,-122.44272820000002
1619,Alarms,37.78255696,-122.4163494
1638,Alarms,37.78012429,-122.4458936
1639,Alarms,37.78255696,-122.4163494
1648,Alarms,37.7604107,-122.44634350000001
1650,Alarms,37.76324376,-122.4631061
1653,Alarms,37.77708346,-122.41697930000001
1658,Alarms,37.76750446,-122.4289486
1670,Alarms,37.80544605,-122.4228419
1683,Alarms,37.77388278,-122.44272820000002
1684,Alarms,37.78252242,-122.4232744
1701,Alarms,37.78347684,-122.4124351
1702,Alarms,37.78681175,-122.4028497
1710,Alarms,37.78695216,-122.44107179999999
1719,Alarms,37.71015560000001,-122.41260430000001
1721,Alarms,37.769637599999996,-122.43761119999999
1734,Alarms,37.77916742,-122.40634640000002
1735,Alarms,37.76174205,-122.4484554
1738,Alarms,37.75115716,-122.44396840000002
1750,Alarms,37.78695216,-122.44107179999999
1753,Alarms,37.74970201,-122.4204993
1754,Alarms,37.74742179,-122.4248811
1762,Alarms,37.77006294,-122.4502439
1771,Alarms,37.78137782,-122.43316200000001
1796,Alarms,37.71914568,-122.44563490000002
1803,Alarms,37.73673251,-122.3805666
1805,Alarms,37.71751347,-122.4805946
1812,Alarms,37.72364427,-122.45459890000001
1829,Alarms,37.78347684,-122.4124351
1838,Alarms,37.7877641,-122.4099253
1842,Alarms,37.759220299999996,-122.4633116
1849,Alarms,37.74970201,-122.4204993
1854,Alarms,37.77916742,-122.40634640000002
1861,Alarms,37.78976143,-122.4048144
1866,Alarms,37.74799968,-122.4208219
