,call_type,latitude,longitude
3688,Traffic Collision,37.77252644,-122.4100769
3692,Train / Rail Incident,37.79267912,-122.39685349999999
3704,Traffic Collision,37.77252644,-122.4100769
3738,Train / Rail Incident,37.79267912,-122.39685349999999
3747,Traffic Collision,37.71147667,-122.4555922
3754,Other,37.76267071,-122.43518799999998
3756,Traffic Collision,37.72935716,-122.40275220000001
3769,Traffic Collision,37.77566572,-122.4778976
3776,Traffic Collision,37.77011145,-122.42000829999999
3797,Train / Rail Incident,37.79267912,-122.39685349999999
3806,Other,37.75463968,-122.43106429999999
3822,Train / Rail Incident,37.79267912,-122.39685349999999
3828,Outside Fire,37.76640577,-122.4242581
3833,Traffic Collision,37.77566572,-122.4778976
3837,Other,37.77998926,-122.40737649999998
3841,Other,37.76267071,-122.43518799999998
3844,Odor (Strange / Unknown),37.78259122,-122.457897
3863,Traffic Collision,37.75762172,-122.4188873
3864,Other,37.76267071,-122.43518799999998
3866,Other,37.76267071,-122.43518799999998
3900,Train / Rail Incident,37.79267912,-122.39685349999999
3906,Train / Rail Incident,37.79267912,-122.39685349999999
3910,Traffic Collision,37.77566572,-122.4778976
3911,Train / Rail Incident,37.79267912,-122.39685349999999
3918,Traffic Collision,37.78558247,-122.4146172
3930,Traffic Collision,37.77110616,-122.41562350000001
3944,Vehicle Fire,37.77207268,-122.41189720000001
3949,Other,37.75463968,-122.43106429999999
3954,Traffic Collision,37.77110616,-122.41562350000001
3962,Citizen Assist / Service Call,37.77139603,-122.50989469999999
3969,Train / Rail Incident,37.79267912,-122.39685349999999
3980,Traffic Collision,37.74927012,-122.4036762
3985,Train / Rail Incident,37.79267912,-122.39685349999999
3990,Other,37.77998926,-122.40737649999998
3991,Traffic Collision,37.77469266,-122.43264860000001
4004,Traffic Collision,37.77469266,-122.43264860000001
4006,Traffic Collision,37.78558247,-122.4146172
4007,Citizen Assist / Service Call,37.77708346,-122.41697930000001
4011,Outside Fire,37.764843299999995,-122.42311240000001
4027,Traffic Collision,37.78279444,-122.41405379999999
4030,Other,37.76267071,-122.43518799999998
4036,Gas Leak (Natural and LP Gases),37.79367584,-122.4255257
4039,Traffic Collision,37.77011145,-122.42000829999999
4040,Gas Leak (Natural and LP Gases),37.75353565,-122.41021210000001
4042,Train / Rail Incident,37.79267912,-122.39685349999999
4045,Traffic Collision,37.72643345,-122.4031023
4078,Train / Rail Incident,37.79267912,-122.39685349999999
4081,Elevator / Escalator Rescue,37.76645441,-122.3973857
4083,Traffic Collision,37.77566572,-122.4778976
4087,Train / Rail Incident,37.79267912,-122.39685349999999
4089,Train / Rail Incident,37.79267912,-122.39685349999999
4105,Other,37.75463968,-122.43106429999999
4109,Traffic Collision,37.77566572,-122.4778976
4133,Traffic Collision,37.72643345,-122.4031023
4136,Gas Leak (Natural and LP Gases),37.75480963,-122.4282874
4138,Traffic Collision,37.77252644,-122.4100769
4142,Traffic Collision,37.78279444,-122.41405379999999
4149,Train / Rail Incident,37.79267912,-122.39685349999999
4163,Train / Rail Incident,37.79267912,-122.39685349999999
4167,Train / Rail Incident,37.79267912,-122.39685349999999
4177,Smoke Investigation (Outside),37.74910206,-122.48692720000001
4178,Gas Leak (Natural and LP Gases),37.75353565,-122.41021210000001
4183,Smoke Investigation (Outside),37.74910206,-122.48692720000001
4189,Traffic Collision,37.74299701,-122.42164450000001
4190,Traffic Collision,37.79843074,-122.40266270000001
4202,Traffic Collision,37.7759254,-122.43798980000001
4205,Citizen Assist / Service Call,37.79385193,-122.40954099999999
4228,Traffic Collision,37.75730761,-122.40661979999999
4229,Traffic Collision,37.75421545,-122.44220929999999
4242,Traffic Collision,37.75421545,-122.44220929999999
4253,Traffic Collision,37.79843074,-122.40266270000001
4257,Traffic Collision,37.76113404,-122.48985330000001
4264,Outside Fire,37.76088893,-122.4350007
4273,Outside Fire,37.76027169,-122.50938159999998
4275,Vehicle Fire,37.72092962,-122.39727099999999
4312,Outside Fire,37.77592749,-122.5115574
4335,HazMat,37.77732776,-122.3930886
4339,Other,37.75703373,-122.47675840000001
4359,Traffic Collision,37.76113404,-122.48985330000001
4363,Traffic Collision,37.79843074,-122.40266270000001
4393,Electrical Hazard,37.71905983,-122.3846557
4402,Other,37.76918286,-122.40388829999999
4412,Outside Fire,37.76027169,-122.50938159999998
4435,Citizen Assist / Service Call,37.78480739,-122.41361540000001
4437,Water Rescue,37.79152537,-122.48348020000002
4445,Vehicle Fire,37.78533462,-122.424687
4446,Fuel Spill,37.74676575,-122.42248020000001
4484,Other,37.75260006,-122.49241359999999
4497,Outside Fire,37.77592749,-122.5115574
4499,Traffic Collision,37.75421545,-122.44220929999999
4509,Other,37.74817877,-122.42140390000002
4522,Traffic Collision,37.73123693,-122.40508590000002
4524,Traffic Collision,37.75730761,-122.40661979999999
4526,Citizen Assist / Service Call,37.78563178,-122.41378259999999
4540,Traffic Collision,37.75730761,-122.40661979999999
4543,Other,37.74852008,-122.4202473
4557,Water Rescue,37.79152537,-122.48348020000002
4562,Citizen Assist / Service Call,37.75633027,-122.39556540000001
4573,Citizen Assist / Service Call,37.7233591,-122.40190249999999
4586,Traffic Collision,37.79843074,-122.40266270000001
4598,Vehicle Fire,37.78076435,-122.388778
4604,Outside Fire,37.76027169,-122.50938159999998
4613,Traffic Collision,37.79843074,-122.40266270000001
4622,HazMat,37.77732776,-122.3930886
4628,Traffic Collision,37.73123693,-122.40508590000002
4639,Traffic Collision,37.77921168,-122.41093659999999
4642,Other,37.74817877,-122.42140390000002
4655,Citizen Assist / Service Call,37.75633027,-122.39556540000001
4661,Outside Fire,37.78482478,-122.40933500000001
4664,Electrical Hazard,37.747849200000005,-122.4236193
4665,Outside Fire,37.70916003,-122.4518014
4680,Traffic Collision,37.76113404,-122.48985330000001
4697,Water Rescue,37.79152537,-122.48348020000002
4700,Traffic Collision,37.80578627,-122.4422098
4709,Traffic Collision,37.75421545,-122.44220929999999
4711,Vehicle Fire,37.78533462,-122.424687
4714,Outside Fire,37.7421067,-122.3950653
4725,Traffic Collision,37.80578627,-122.4422098
4729,Traffic Collision,37.76113404,-122.48985330000001
4735,Citizen Assist / Service Call,37.77095828,-122.468301
4743,Outside Fire,37.78273164,-122.4064794
4747,Fuel Spill,37.74676575,-122.42248020000001
4754,Water Rescue,37.79152537,-122.48348020000002
4761,Water Rescue,37.79152537,-122.48348020000002
4769,Traffic Collision,37.75421545,-122.44220929999999
4775,Traffic Collision,37.75421545,-122.44220929999999
4787,Traffic Collision,37.76113404,-122.48985330000001
4793,Water Rescue,37.79152537,-122.48348020000002
4794,Odor (Strange / Unknown),37.78434927,-122.4093092
4810,Outside Fire,37.76088893,-122.4350007
4813,Traffic Collision,37.77290912,-122.4221864
4820,Traffic Collision,37.7759254,-122.43798980000001
4831,Traffic Collision,37.79843074,-122.40266270000001
4835,Water Rescue,37.79152537,-122.48348020000002
4838,Fuel Spill,37.74676575,-122.42248020000001
4873,Citizen Assist / Service Call,37.79058657,-122.39987749999999
4879,Vehicle Fire,37.78076435,-122.388778
4883,Citizen Assist / Service Call,37.75633027,-122.39556540000001
4886,Electrical Hazard,37.73481718,-122.41650209999999
4889,Traffic Collision,37.75421545,-122.44220929999999
4898,Traffic Collision,37.76113404,-122.48985330000001
4900,Traffic Collision,37.77921168,-122.41093659999999
4905,Other,37.77973891,-122.40715949999999
4912,HazMat,37.77732776,-122.3930886
4928,Water Rescue,37.79152537,-122.48348020000002
4931,Traffic Collision,37.7759254,-122.43798980000001
4935,Traffic Collision,37.75421545,-122.44220929999999
4943,Traffic Collision,37.77290912,-122.4221864
4953,Elevator / Escalator Rescue,37.78917521,-122.4094297
4956,Vehicle Fire,37.72092962,-122.39727099999999
4957,Traffic Collision,37.71888022,-122.39874809999999
4962,Other,37.7866625,-122.4291682
4974,Water Rescue,37.79152537,-122.48348020000002
4975,Traffic Collision,37.74299701,-122.42164450000001
4992,Citizen Assist / Service Call,37.71449939,-122.4827665
4996,Traffic Collision,37.79843074,-122.40266270000001
5005,Citizen Assist / Service Call,37.77095828,-122.468301
5007,Water Rescue,37.79152537,-122.48348020000002
5016,Traffic Collision,37.71888022,-122.39874809999999
5027,Traffic Collision,37.73123693,-122.40508590000002
5031,Other,37.75147307,-122.3900869
5070,Traffic Collision,37.77858957,-122.41162620000001
5093,Electrical Hazard,37.77965963,-122.4387402
5123,Traffic Collision,37.729632,-122.43380800000001
5126,Traffic Collision,37.77250432,-122.442378
5133,Citizen Assist / Service Call,37.78802755,-122.44780449999999
5150,Traffic Collision,37.71882359,-122.40042340000002
5164,Outside Fire,37.79804495,-122.39636709999999
5182,Traffic Collision,37.77273891,-122.4483313
