Column1,Unnamed0,call_type,received_timestamp,disptach_timestamp,dispatch_time,latitude,longitude,TransactionId,ComputedAPN,StreetAddress,ComputedCity,ComputedState,ComputedZip
3481,3481,Structure Fire,0 days 17:26:24.000000000,0 days 17:29:54.000000000,0 days 00:03:30.000000000,37.7303933,-122.4057719,,5925023,149 Girard St,San Francisco,CA,94134
3501,3501,Structure Fire,0 days 03:45:45.000000000,0 days 03:45:54.000000000,0 days 00:00:09.000000000,37.76437321,-122.4174785,,3570050,550 S Van Ness Ave,San Francisco,CA,94110
3513,3513,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.77626951,-122.4172576,,3508001,1301 Market St,San Francisco,CA,94103
3517,3517,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000,37.78338624,-122.4098537,,340007,34 Turk St,San Francisco,CA,94102
3526,3526,Structure Fire,0 days 13:18:11.000000000,0 days 13:18:21.000000000,0 days 00:00:10.000000000,37.78316343,-122.4115993,,339008,152 Turk St,San Francisco,CA,94102
3546,3546,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.77883125,-122.471107,,1532016,2124 Anza St,San Francisco,CA,94118
3552,3552,Structure Fire,0 days 17:26:24.000000000,0 days 17:29:21.000000000,0 days 00:02:57.000000000,37.75617132,-122.4198655,,3616007,2554 Mission St,San Francisco,CA,94110
3554,3554,Structure Fire,0 days 20:01:02.000000000,0 days 20:01:40.000000000,0 days 00:00:38.000000000,37.80401127,-122.410748,,63026,449 Chestnut St,San Francisco,CA,94133
3558,3558,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.78294352,-122.4199884,,742011,747 Eddy St,San Francisco,CA,94102
3590,3590,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.77966604,-122.4137112,,351046,1130 Market St,San Francisco,CA,94102
3595,3595,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000,37.79885485,-122.4333195,,0517021B,44 Pixley St,San Francisco,CA,94123
3608,3608,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000,37.75762172,-122.4188873,,3610023,2467 Mission St,San Francisco,CA,94110
3610,3610,Structure Fire,0 days 20:12:54.000000000,0 days 20:13:03.000000000,0 days 00:00:09.000000000,37.75501594,-122.457591,,2674008,249 Christopher Dr,San Francisco,CA,94131
3613,3613,Structure Fire,0 days 03:56:11.000000000,0 days 04:02:06.000000000,0 days 00:05:55.000000000,37.77128553,-122.4132043,,3520027,355  11th St,San Francisco,CA,94103
3630,3630,Structure Fire,0 days 23:29:37.000000000,0 days 23:29:44.000000000,0 days 00:00:07.000000000,37.78482478,-122.409335,,330014,140 Mason St,San Francisco,CA,94102
3640,3640,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.76267071,-122.435188,,2623006,376 Castro St,San Francisco,CA,94114
3641,3641,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.75090379,-122.4339791,,6507014,1311 Castro St,San Francisco,CA,94114
3644,3644,Structure Fire,0 days 03:45:45.000000000,0 days 03:45:54.000000000,0 days 00:00:09.000000000,37.78114586,-122.409026,,3703029,80 6th St,San Francisco,CA,94103
3654,3654,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.74910206,-122.4869272,,2149001K,2047  29th Ave,San Francisco,CA,94116
3655,3655,Structure Fire,0 days 17:26:24.000000000,0 days 17:26:34.000000000,0 days 00:00:10.000000000,37.75090379,-122.4339791,,6507014,1311 Castro St,San Francisco,CA,94114
3658,3658,Structure Fire,0 days 13:18:11.000000000,0 days 13:18:21.000000000,0 days 00:00:10.000000000,37.78114586,-122.409026,,3703029,80 6th St,San Francisco,CA,94103
